Rk,Date,Tm,▾,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,2012-11-12,UTA,@,TOR,W 140-133
,315,46,93,.495,32,67,.478,14,26,.538,34,43,.791,140,51,108,.472,43,84,.512,8,24,.333,23,30,.767,133
2,2013-03-08,POR,@,SAS,W 136-106,240,53,86,.616,40,65,.615,13,21,.619,17,21,.810,136,44,84,.524,38,65,.585,6,19,.316,12,15,.800,106
3,2012-12-10,SAS,@,HOU,W 134-126,265,48,92,.522,34,62,.548,14,30,.467,24,26,.923,134,41,97,.423,25,67,.373,16,30,.533,28,36,.778,126
4,2012-12-08,SAS,@,CHA,W 132-102,240,50,90,.556,31,56,.554,19,34,.559,13,15,.867,132,37,79,.468,31,64,.484,6,15,.400,22,31,.710,102
5,2013-02-26,SAC,@,MIA,L 129-141,290,48,93,.516,34,66,.515,14,27,.519,19,26,.731,129,56,101,.554,46,78,.590,10,23,.435,19,24,.792,141
6,2013-01-12,MIA,@,SAC,W 128-99,240,45,80,.563,28,43,.651,17,37,.459,21,24,.875,128,38,87,.437,29,69,.420,9,18,.500,14,19,.737,99
7,2012-12-19,GSW,@,SAC,L 127-131,240,46,92,.500,33,66,.500,13,26,.500,22,25,.880,127,43,86,.500,32,67,.478,11,19,.579,34,42,.810,131
8,2013-03-18,DAL,@,ATL,W 127-113,240,51,89,.573,38,67,.567,13,22,.591,12,14,.857,127,42,75,.560,34,54,.630,8,21,.381,21,29,.724,113
